[I 130830 10:36:37 autoreload:74] /home/justdoit/document/project/website/yoez-0.1/server.py modified; restarting server
[I 130830 18:20:23 web:1235] 200 GET / (127.0.0.1) 859.94ms
[I 130830 18:21:12 web:1235] 200 GET /4273248 (127.0.0.1) 128.27ms
[I 130831 09:57:05 web:1235] 200 GET /static/favicon.ico (192.168.1.2) 81.29ms
[I 130831 09:57:06 web:1235] 200 GET / (192.168.1.2) 1087.20ms
[I 130831 09:57:07 web:1235] 200 GET /static/CSS/common.css?v=868b1 (192.168.1.2) 1.36ms
[I 130831 09:57:07 web:1235] 200 GET /static/CSS/index.css?v=e234e (192.168.1.2) 1.49ms
[I 130831 09:57:07 web:1235] 200 GET /static/JS/jquery-1.5.1.min.js?v=b04a3 (192.168.1.2) 1.76ms
[I 130831 09:57:07 web:1235] 200 GET /static/JS/jquery.form-2.67.js?v=47345 (192.168.1.2) 1.14ms
[I 130831 09:57:07 web:1235] 200 GET /static/JS/index.js?v=4958c (192.168.1.2) 1.32ms
[I 130831 09:57:07 web:1235] 200 GET /static/JS/common.js?v=0bb8f (192.168.1.2) 1.13ms
[I 130831 09:57:07 web:1235] 200 GET /static/img/background1.png (192.168.1.2) 25.86ms
[I 130831 09:57:07 web:1235] 200 GET /static/img/hdbg.jpg (192.168.1.2) 12.40ms
[I 130831 09:57:07 web:1235] 200 GET /static/img/header_footer_line.jpg (192.168.1.2) 4.56ms
[I 130831 09:57:07 web:1235] 200 GET /static/img/logo.png (192.168.1.2) 16.97ms
[I 130831 09:57:07 web:1235] 200 GET /static/img/icon-hd.png (192.168.1.2) 2.16ms
[I 130831 09:57:07 web:1235] 200 GET /static/img/common/adl.jpg?v=22765 (192.168.1.2) 0.39ms
[I 130831 09:57:07 web:1235] 200 GET /static/img/common/adr.jpg?v=3e3f2 (192.168.1.2) 1.36ms
[I 130831 09:57:07 web:1235] 200 GET /static/img/index.png (192.168.1.2) 18.18ms
[I 130831 09:57:07 web:1235] 200 GET /static/img/linshi/banner.jpg (192.168.1.2) 37.13ms
[I 130831 09:57:07 web:1235] 200 GET /static/img/show-bodyico.png (192.168.1.2) 2.22ms
[I 130831 09:57:07 web:1235] 200 GET /static/img/linshi/work4.jpg (192.168.1.2) 15.98ms
[I 130831 09:57:07 web:1235] 200 GET /static/img/music250.jpg (192.168.1.2) 8.16ms
[I 130831 09:57:07 web:1235] 200 GET /static/img/linshi/work2.jpg (192.168.1.2) 16.18ms
[I 130831 09:57:07 web:1235] 200 GET /static/img/linshi/work1.jpg (192.168.1.2) 13.34ms
[I 130831 09:57:07 web:1235] 200 GET /static/img/linshi/work5.jpg (192.168.1.2) 1.64ms
[I 130831 09:57:07 web:1235] 200 GET /static/img/linshi/work3.jpg (192.168.1.2) 1.03ms
[I 130831 09:57:07 web:1235] 200 GET /static/img/footer.jpg (192.168.1.2) 0.63ms
[I 130831 09:57:16 web:1235] 200 GET /user/action/login?next=/ (192.168.1.2) 87.73ms
[I 130831 09:57:16 web:1235] 200 GET /static/CSS/register.css?v=a96ca (192.168.1.2) 1.30ms
[I 130831 09:57:16 web:1235] 200 GET /static/JS/login.js?v=b1305 (192.168.1.2) 0.94ms
[I 130831 09:57:16 web:1235] 200 GET /static/img/register.png (192.168.1.2) 3.45ms
[I 130831 09:57:16 web:1235] 200 GET /static/img/pngbg.png (192.168.1.2) 2.16ms
[I 130831 09:57:16 web:1235] 200 GET /static/img/pngbg80.png (192.168.1.2) 10.06ms
[I 130831 09:57:32 web:1235] 200 GET /static/img/bgt.jpg (192.168.1.2) 18.59ms
[I 130831 09:57:58 web:1235] 200 GET /user/action/signup (192.168.1.2) 63.50ms
[I 130831 09:57:58 web:1235] 200 GET /static/JS/reg.js?v=dbd8a (192.168.1.2) 1.61ms
[I 130831 09:58:14 web:1235] 200 GET /records (192.168.1.2) 178.34ms
[I 130831 09:58:14 web:1235] 200 GET /static/img/user/4273248/2013070512:35:57.png (192.168.1.2) 59.95ms
[I 130831 09:58:14 web:1235] 200 GET /static/img/user/4273248/2013040513:42:02.jpg (192.168.1.2) 13.92ms
[I 130831 09:58:14 web:1235] 200 GET /static/img/user/4273248/2013071011:14:29.jpg (192.168.1.2) 15.28ms
[I 130831 09:58:14 web:1235] 200 GET /static/img/user/4273248/2013032520:31:38.jpg (192.168.1.2) 12.82ms
[I 130831 09:58:14 web:1235] 200 GET /static/img/user/4273248/2013032520:23:57.jpg (192.168.1.2) 1.01ms
[I 130831 09:58:14 web:1235] 200 GET /static/img/user/4273248/2013032520:12:49.png (192.168.1.2) 11.04ms
[I 130831 09:58:14 web:1235] 200 GET /static/img/user/4273248/2013032520:03:38.png (192.168.1.2) 6.79ms
[I 130831 09:58:14 web:1235] 200 GET /static/img/user/4273248/2013032520:03:49.png (192.168.1.2) 4.95ms
[I 130831 09:58:14 web:1235] 200 GET /static/img/user/4273248/2013032513:25:39.jpg (192.168.1.2) 6.84ms
[I 130831 09:58:14 web:1235] 200 GET /static/img/user/4273248/2013032513:25:43.jpeg (192.168.1.2) 2.42ms
